seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
1,12,ours-fuel,-153476#17,-152284,True,415429.83,75913.64483590382,480.75,1302095.57,6.75,1,61.14,5472.4,0,240,52425.8
1,13,ours-fuel,-152939#5,152693#1,True,98786.82,178757.6135931817,82.5,309652.09,6.25,1,26.02,552.63,0,267,53422.3
1,14,ours-fuel,152398#3,-153476#16,True,200760.21,91568.05338271448,185.0,629246.21,0.0,0,19.4,2192.47,0,262,56948.3
1,15,ours-fuel,-152930,-153355#4,True,338411.7,41582.65434139113,734.75,1060643.5,0.75,2,31.35,8138.29,0,255,49208.7
1,16,ours-fuel,152385,-152742,True,869669.64,111411.83463790211,567.75,2725838.27,4.5,1,54.46,7805.9,0,246,65262.0
1,17,ours-fuel,-152725#0,152483#0,True,636507.31,97629.95985943903,542.25,1995050.54,0.0,0,48.21,6519.59,0,248,70406.1
1,18,ours-fuel,152413#1,153427#10,True,245887.1,98447.77469931616,199.25,770695.61,0.0,0,27.34,2497.64,0,237,60806.4
1,19,ours-fuel,-153451#0,-152492,True,452792.47,51090.598180657005,689.5,1419138.86,0.0,0,27.85,8862.54,0,241,57397.3
1,20,ours-fuel,152817#3,153056,True,566857.98,105540.88453131459,451.25,1776735.92,2.5,2,59.6,5370.98,0,241,62048.8
1,21,ours-fuel,-152830#0,152556,True,370917.05,67929.42001673892,408.5,1162550.09,0.0,0,29.2,5460.33,0,233,44285.2
1,22,ours-fuel,-152657#2,153332#2,True,815425.12,122604.27883870831,612.5,2555871.41,14.25,3,91.19,6650.87,0,252,58905.5
1,23,ours-fuel,-153553,153475#2,True,373140.59,90108.81188118813,343.25,1169548.04,2.0,2,49.67,4141.0,0,270,59591.8
1,24,ours-fuel,153454#0,152489#3,True,553172.54,101937.78758958238,428.5,1733845.51,6.5,1,35.16,5426.57,0,269,72166.3
3,0,ours-fuel,153487#1,-152776,True,331659.61,48478.74977709045,565.75,1039511.0,8.5,2,66.83,6841.34,0,220,44429.9
3,1,ours-fuel,-152401,-153473#0,True,144312.53,79368.04214995573,149.75,452317.34,0.0,0,15.53,1818.27,0,229,42633.1
3,2,ours-fuel,-153413#12,-153370#1,True,579919.57,92289.50618266308,480.0,1817639.2,0.0,0,39.95,6283.7,0,235,48478.8
3,3,ours-fuel,-152883#0,-152743#1,True,878061.23,119245.73909547957,561.75,2752159.72,25.75,2,89.71,7363.46,0,245,59275.9
3,4,ours-fuel,153327#1,-152682#1,True,198534.98,38464.81331868634,433.5,622244.01,0.0,0,31.53,5161.47,0,251,63190.3
3,5,ours-fuel,153405#1,152690,True,245835.47,135657.31329117416,226.25,770564.04,0.5,1,38.12,1812.18,0,243,63170.9
3,6,ours-fuel,-152443,-152427,True,646101.71,102907.67321922892,592.0,2025124.77,24.25,2,59.42,6278.46,0,241,67018.6
3,7,ours-fuel,-152712,-153363#0,True,234762.43,62624.523505293786,334.25,735805.0,0.0,0,27.38,3748.73,0,227,63796.2
3,8,ours-fuel,-153383#2,152960#6,True,425935.72,106148.76527364846,656.25,1335139.39,300.25,1,342.98,4012.63,0,215,65012.8
3,9,ours-fuel,153572#0,153327#0,True,410299.85,86960.913142908,380.75,1286000.55,0.0,0,30.9,4718.21,0,227,45872.4
3,10,ours-fuel,152677#1,-153365#1,True,198225.94,92312.32129052687,171.75,621310.97,0.0,0,26.2,2147.34,0,241,50443.0
3,11,ours-fuel,152789#0,153401,True,1031326.48,580816.3095204572,1364.75,3233026.59,1210.5,5,1233.7,1775.65,0,240,48921.8
3,12,ours-fuel,-153476#17,-152284,True,423699.31,77424.76975367298,462.0,1328014.21,19.5,2,70.1,5472.4,0,245,53213.3
3,13,ours-fuel,-152939#5,152693#1,True,104068.87,188315.6361399128,84.5,326210.79,10.0,1,34.39,552.63,0,269,58064.4
3,14,ours-fuel,152398#3,-153476#16,True,199742.2,91103.7323201686,189.5,626057.14,0.0,0,19.25,2192.47,0,253,44083.5
3,15,ours-fuel,-152930,-153355#4,True,338514.6,41595.298275190486,594.5,1060950.45,0.0,0,34.43,8138.29,0,247,43041.5
3,16,ours-fuel,152385,-152742,True,871729.34,111675.69915064247,587.75,2732300.29,3.75,2,58.7,7805.9,0,245,53893.6
3,17,ours-fuel,-152725#0,152483#0,True,645842.78,99061.87045504396,630.75,2024326.22,0.0,0,45.28,6519.59,0,241,67448.9
3,18,ours-fuel,152413#1,153427#10,True,237913.09,95255.15686808346,219.0,745702.94,0.0,0,23.35,2497.64,0,242,61259.5
3,19,ours-fuel,-153451#0,-152492,True,464712.6,52435.599726489236,826.75,1456522.93,0.0,0,23.46,8862.54,0,239,61011.3
3,20,ours-fuel,152817#3,153056,True,582601.79,112357.07880206818,446.5,1826097.65,8.5,2,80.49,5185.27,0,238,55721.7
3,21,ours-fuel,-152830#0,152556,True,368466.05,67480.54604758321,427.0,1154870.81,0.0,0,28.31,5460.33,0,241,51159.7
3,22,ours-fuel,-152657#2,153332#2,True,792340.43,119133.35097513559,630.5,2483512.83,0.0,0,66.64,6650.87,0,260,66035.8
3,23,ours-fuel,-153553,153475#2,True,365818.86,88340.7051436851,359.25,1146598.71,0.0,0,40.1,4141.0,0,270,60389.9
3,24,ours-fuel,153454#0,152489#3,True,552762.17,101862.16523513012,379.25,1732552.14,0.0,0,31.17,5426.57,0,267,62453.0
4,0,ours-fuel,153487#1,-152776,True,313119.89,45768.79529448909,707.5,981413.86,0.0,0,48.34,6841.34,0,225,45064.8
4,1,ours-fuel,-152401,-153473#0,True,142756.61,78512.32765210886,184.5,447444.77,0.0,0,13.05,1818.27,0,228,45257.8
4,2,ours-fuel,-153413#12,-153370#1,True,585648.51,93201.22061842546,540.25,1835607.12,0.0,0,37.34,6283.7,0,242,41993.8
4,3,ours-fuel,-152883#0,-152743#1,True,864059.98,117344.28923359398,504.25,2708260.64,6.75,1,70.13,7363.46,0,244,49206.3
4,4,ours-fuel,153327#1,-152682#1,True,205861.17,39884.213218327335,400.5,645204.56,0.0,0,33.23,5161.47,0,253,57729.9
4,5,ours-fuel,153405#1,152690,True,253566.24,139923.31887560835,192.25,794792.84,0.0,0,41.31,1812.18,0,246,68942.3
4,6,ours-fuel,-152443,-152427,True,633807.21,100949.47009298459,530.75,1986575.07,15.25,1,52.16,6278.46,0,244,66108.8
4,7,ours-fuel,-152712,-153363#0,True,235913.28,62931.52080838044,345.5,739413.58,0.0,0,27.34,3748.73,0,231,63257.5
4,8,ours-fuel,-153383#2,152960#6,True,432441.04,107769.97629983327,667.5,1355532.0,309.75,2,354.36,4012.63,1,212,56578.4
4,9,ours-fuel,153572#0,153327#0,True,411958.85,87312.52953980428,405.25,1291206.35,0.0,0,30.42,4718.21,0,227,47596.8
4,10,ours-fuel,152677#1,-153365#1,True,192720.69,89748.56799575288,185.5,604055.0,0.0,0,24.38,2147.34,0,236,45752.4
4,11,ours-fuel,152789#0,153401,True,1028029.74,578959.6711063554,1364.5,3222692.63,1207.75,5,1230.23,1775.65,0,236,56009.9
4,12,ours-fuel,-153476#17,-152284,True,426991.19,78026.31203859368,502.0,1338336.5,25.75,3,81.23,5472.4,0,247,56095.9
4,13,ours-fuel,-152939#5,152693#1,True,95271.89,172397.24589689306,68.0,298631.88,0.0,0,19.05,552.63,0,258,49690.4
4,14,ours-fuel,152398#3,-153476#16,True,198571.28,90569.66800001825,203.25,622389.8,0.0,0,18.63,2192.47,0,254,50838.1
4,15,ours-fuel,-152930,-153355#4,True,327236.46,40209.4862679998,667.75,1025606.16,0.0,0,29.63,8138.29,0,245,45879.8
